,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],0.0,0.0,100000.0,kW,Installed capacity of BOI,unique
unit_size[PV],0.0,0.0,100000.0,kW,Installed capacity of PV,unique
unit_size[BAT],1000.0,0.0,100000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],1000.0,0.0,100000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],8.09382750746667e-05,0.0,100000.0,kW,Installed capacity of AD,unique
unit_install[BOI],0.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],1.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],1.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],8.093827507466671e-08,0.0,1.0,-,AD decision variable,bool
unit_capex[BOI],0.0,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],3.31835,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],1290.9246,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],3.8079756000000007,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],0.00021926178717727212,0.0,10000.0,kCHF,Investment cost of AD,unique
min_T_AD,-1937.0129544592262,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty,0.03169279708558658,0.0,10000.0,,,
grid_export_a[Elec],150.58913729075002,0.0,10000.0,,,
grid_export_a[Gas],0.0,0.0,10000.0,,,
grid_import_a[Elec],0.0,0.0,10000.0,,,
grid_import_a[Gas],303.7985318678049,0.0,10000.0,,,
unused_a[Biomass],24.94673408896421,0.0,10000.0,,,
unused_a[Biogas],0.0,0.0,10000.0,,,
unused_a[Gas],0.0,0.0,10000.0,,,
emissions,55.01280137575409,-10000.0,10000.0,t-CO2,Annual total CO2 emissions,
capex,1.2980511448617873,-10000.0,10000.0,MCHF,total CAPEX,
opex,0.012256751566164391,0.0,10000.0,MCHF/year,total annual opex,
totex,0.09552300545954566,0.0,10000.0,MCHF/year,total annualized expenses,
