,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],741.2990197054976,0.0,100000.0,kW,Installed capacity of BOI,unique
unit_size[PV],2829.932979096838,0.0,100000.0,kW,Installed capacity of PV,unique
unit_size[BAT],1000.0,0.0,100000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],117.37236361244318,0.0,100000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],31.183420135137496,0.0,100000.0,kW,Installed capacity of AD,unique
unit_size[CGT],10000.0,0.0,100000.0,kWh,Installed capacity of CGT,unique
unit_install[BOI],1.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],1.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],1.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0000000000000007,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],1.0,0.0,1.0,-,AD decision variable,bool
unit_install[CGT],1.0,0.0,1.0,-,CGT decision variable,bool
unit_capex[BOI],146.94551472433903,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],10000.0,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],1290.9246,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],471.6431344550353,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],93.19523436487124,0.0,10000.0,kCHF,Investment cost of AD,unique
unit_capex[CGT],145.494,0.0,10000.0,kCHF,Investment cost of CGT,unique
min_T_AD,30.0,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty_a,0.5788100348488566,0.0,10000.0,MCHF,Sum of Penalty for deviating from the comfort temperature,unique
grid_export_a[Elec],8.413388537171954,0.0,10000.0,,,
grid_export_a[Gas],0.0,0.0,10000.0,,,
grid_import_a[Elec],382.68431266202646,0.0,10000.0,,,
grid_import_a[Gas],1954.2238132973482,0.0,10000.0,,,
unused_a[Biomass],2.1217956857060796,0.0,10000.0,,,
unused_a[Biogas],11.108040752100626,0.0,10000.0,,,
unused_a[Gas],0.0,0.0,10000.0,,,
emissions,403.62600482966263,-10000.0,10000.0,t-CO2,Annual total CO2 emissions,unique
capex,12.148202483544244,-10000.0,10000.0,MCHF,total CAPEX,unique
opex,0.24750906901970043,0.0,10000.0,MCHF/year,total annual opex,unique
totex,1.0267813776240777,0.0,10000.0,MCHF/year,total annualized expenses,unique
