,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],649.2486118766722,0.0,100000.0,kW,Installed capacity of BOI,unique
unit_size[PV],563.4201890585176,0.0,100000.0,kW,Installed capacity of PV,unique
unit_size[BAT],42.24413340437949,0.0,100000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],18.710052081082498,0.0,100000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],31.183420135137496,0.0,100000.0,kW,Installed capacity of AD,unique
unit_size[CGT],10000.0,0.0,100000.0,kWh,Installed capacity of CGT,unique
unit_install[BOI],1.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],1.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],1.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],1.0,0.0,1.0,-,AD decision variable,bool
unit_install[CGT],1.0,0.0,1.0,-,CGT decision variable,bool
unit_capex[BOI],129.54798764469103,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],1993.5888994454326,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],55.32375650498998,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],98.69959686649185,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],93.19523436487124,0.0,10000.0,kCHF,Investment cost of AD,unique
unit_capex[CGT],145.494,0.0,10000.0,kCHF,Investment cost of CGT,unique
min_T_AD,30.0,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty_a,0.570505522841548,0.0,10000.0,MCHF,Sum of Penalty for deviating from the comfort temperature,unique
grid_export_a[Elec],0.4834195657575734,0.0,10000.0,,,
grid_export_a[Gas],0.0,0.0,10000.0,,,
grid_import_a[Elec],676.5370257135232,0.0,10000.0,,,
grid_import_a[Gas],1966.137167461671,0.0,10000.0,,,
unused_a[Biomass],0.0,0.0,10000.0,,,
unused_a[Biogas],-1.0306422382200252e-14,0.0,10000.0,,,
unused_a[Gas],0.0,0.0,10000.0,,,
emissions,443.9841654709726,-10000.0,10000.0,t-CO2,Annual total CO2 emissions,unique
capex,2.515849474826477,-10000.0,10000.0,MCHF,total CAPEX,unique
opex,0.3196211860029186,0.0,10000.0,MCHF/year,total annual opex,unique
totex,0.48100570614117305,0.0,10000.0,MCHF/year,total annualized expenses,unique
