,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],701.548587690312,0.0,100000.0,kW,Installed capacity of BOI,unique
unit_size[PV],2829.932979096838,0.0,100000.0,kW,Installed capacity of PV,unique
unit_size[BAT],637.843226613421,0.0,100000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],43.76807219944407,0.0,100000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],31.183420135137496,0.0,100000.0,kW,Installed capacity of AD,unique
unit_size[CGT],10000.0,0.0,100000.0,kWh,Installed capacity of CGT,unique
unit_install[BOI],1.0000000000000007,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],1.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],0.9999999999999999,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],1.0,0.0,1.0,-,AD decision variable,bool
unit_install[CGT],1.0,0.0,1.0,-,CGT decision variable,bool
unit_capex[BOI],139.43268307346898,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],10000.0,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],823.7061466539745,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],193.41891291389862,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],93.19523436487124,0.0,10000.0,kCHF,Investment cost of AD,unique
unit_capex[CGT],145.494,0.0,10000.0,kCHF,Investment cost of CGT,unique
min_T_AD,30.0,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty_a,0.5781940718498082,0.0,10000.0,MCHF,Sum of Penalty for deviating from the comfort temperature,unique
grid_export_a[Elec],14.104391169569293,0.0,10000.0,,,
grid_export_a[Gas],0.0,0.0,10000.0,,,
grid_import_a[Elec],385.6681114505733,0.0,10000.0,,,
grid_import_a[Gas],1954.2883797966674,0.0,10000.0,,,
unused_a[Biomass],0.5197236686798598,0.0,10000.0,,,
unused_a[Biogas],9.012772020008102,0.0,10000.0,,,
unused_a[Gas],0.0,0.0,10000.0,,,
capex,11.395246977006213,-10000.0,10000.0,MCHF,total CAPEX,unique
opex,0.24777506583830544,0.0,10000.0,MCHF/year,total annual opex,unique
totex,0.978747440633456,0.0,10000.0,MCHF/year,total annualized expenses,unique
emissions,404.02559057858525,-10000.0,10000.0,t-CO2,Annual total CO2 emissions,unique
