,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],645.8090485755087,0.0,100000.0,kW,Installed capacity of BOI,unique
unit_size[PV],1896.5914290938176,0.0,100000.0,kW,Installed capacity of PV,unique
unit_size[BAT],334.6747711804375,0.0,100000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],18.710052081082498,0.0,100000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],31.183420135137496,0.0,100000.0,kW,Installed capacity of AD,unique
unit_size[CGT],10000.0,0.0,100000.0,kWh,Installed capacity of CGT,unique
unit_install[BOI],1.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],1.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],1.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],1.0,0.0,1.0,-,AD decision variable,bool
unit_install[CGT],1.0,0.0,1.0,-,CGT decision variable,bool
unit_capex[BOI],128.89791018077113,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],6702.98964144533,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],432.5885222998824,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],98.69959686649185,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],93.19523436487124,0.0,10000.0,kCHF,Investment cost of AD,unique
unit_capex[CGT],145.494,0.0,10000.0,kCHF,Investment cost of CGT,unique
min_T_AD,30.0,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty_a,0.573222145296433,0.0,10000.0,MCHF,Sum of Penalty for deviating from the comfort temperature,unique
grid_export_a[Elec],2.9999643191812306,0.0,10000.0,,,
grid_export_a[Gas],0.0,0.0,10000.0,,,
grid_import_a[Elec],494.48370900749313,0.0,10000.0,,,
grid_import_a[Gas],1963.0977522417172,0.0,10000.0,,,
unused_a[Biomass],0.0016437387157234298,0.0,10000.0,,,
unused_a[Biogas],-1.2011724948024494e-13,0.0,10000.0,,,
unused_a[Gas],0.0,0.0,10000.0,,,
emissions,419.7668473543745,-10000.0,10000.0,t-CO2,Annual total CO2 emissions,unique
capex,7.601864905157346,-10000.0,10000.0,MCHF,total CAPEX,unique
opex,0.2754839131956012,0.0,10000.0,MCHF/year,total annual opex,unique
totex,0.7631217198888145,0.0,10000.0,MCHF/year,total annualized expenses,unique
