,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],583.3452683157308,0.0,100000.0,kW,Installed capacity of BOI,unique
unit_size[PV],0.0,0.0,100000.0,kW,Installed capacity of PV,unique
unit_size[BAT],0.0,0.0,100000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],107.88615967217473,0.0,100000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],31.183420135137496,0.0,100000.0,kW,Installed capacity of AD,unique
unit_size[CGT],0.0,0.0,100000.0,kWh,Installed capacity of CGT,unique
unit_install[BOI],1.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],0.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],-0.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],1.0,0.0,1.0,-,AD decision variable,bool
unit_install[CGT],0.0,0.0,1.0,-,CGT decision variable,bool
unit_capex[BOI],117.09225571167312,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],0.0,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],0.0,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],435.78528356082046,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],93.19523436487124,0.0,10000.0,kCHF,Investment cost of AD,unique
unit_capex[CGT],0.0,0.0,10000.0,kCHF,Investment cost of CGT,unique
min_T_AD,30.0,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty_a,0.5535541834124742,0.0,10000.0,MCHF,Sum of Penalty for deviating from the comfort temperature,unique
grid_export_a[Elec],7.618317758817081,0.0,10000.0,,,
grid_export_a[Gas],0.0,0.0,10000.0,,,
grid_import_a[Elec],371.37530633439883,0.0,10000.0,,,
grid_import_a[Gas],2408.106568112825,0.0,10000.0,,,
unused_a[Biomass],1.0812695794087213,0.0,10000.0,,,
unused_a[Biogas],0.7467968728412347,0.0,10000.0,,,
unused_a[Gas],0.0,0.0,10000.0,,,
capex,0.6460727736373648,-10000.0,10000.0,MCHF,total CAPEX,unique
opex,0.2811691335485763,0.0,10000.0,MCHF/year,total annual opex,unique
totex,0.32261284693093145,0.0,10000.0,MCHF/year,total annualized expenses,unique
emissions,484.3463623319712,-10000.0,10000.0,t-CO2,Annual total CO2 emissions,unique
