,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],701.5485876903116,0.0,100000.0,kW,Installed capacity of BOI,unique
unit_size[PV],2829.932979096838,0.0,100000.0,kW,Installed capacity of PV,unique
unit_size[BAT],637.8114154864878,0.0,100000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],43.73245100602698,0.0,100000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],31.183420135137496,0.0,100000.0,kW,Installed capacity of AD,unique
unit_size[CGT],10000.0,0.0,100000.0,kWh,Installed capacity of CGT,unique
unit_install[BOI],1.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],1.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],0.9999999999999999,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],1.0,0.0,1.0,-,AD decision variable,bool
unit_install[CGT],1.0,0.0,1.0,-,CGT decision variable,bool
unit_capex[BOI],139.4326830734689,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],10000.0,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],823.665107119118,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],193.284264802782,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],93.19523436487124,0.0,10000.0,kCHF,Investment cost of AD,unique
unit_capex[CGT],145.494,0.0,10000.0,kCHF,Investment cost of CGT,unique
min_T_AD,30.0,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty_a,0.5782096079578732,0.0,10000.0,MCHF,Sum of Penalty for deviating from the comfort temperature,unique
grid_export_a[Elec],14.022531626090242,0.0,10000.0,,,
grid_export_a[Gas],0.0,0.0,10000.0,,,
grid_import_a[Elec],385.6451978690174,0.0,10000.0,,,
grid_import_a[Gas],1954.304829506446,0.0,10000.0,,,
unused_a[Biomass],0.7276131361113332,0.0,10000.0,,,
unused_a[Biogas],9.012008419167154,0.0,10000.0,,,
unused_a[Gas],0.0,0.0,10000.0,,,
emissions,404.02559057858525,-10000.0,10000.0,t-CO2,Annual total CO2 emissions,unique
capex,11.39507128936024,-10000.0,10000.0,MCHF,total CAPEX,unique
opex,0.24777743131899263,0.0,10000.0,MCHF/year,total annual opex,unique
totex,0.9787385362561,0.0,10000.0,MCHF/year,total annualized expenses,unique
