,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],608.2337927730892,0.0,100000.0,kW,Installed capacity of BOI,unique
unit_size[PV],0.0,0.0,100000.0,kW,Installed capacity of PV,unique
unit_size[BAT],0.0,0.0,100000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],28.7711169055574,0.0,100000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],31.183420135137496,0.0,100000.0,kW,Installed capacity of AD,unique
unit_size[CGT],0.0,0.0,100000.0,kWh,Installed capacity of CGT,unique
unit_install[BOI],1.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],0.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],0.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],1.0,0.0,1.0,-,AD decision variable,bool
unit_install[CGT],-0.0,0.0,1.0,-,CGT decision variable,bool
unit_capex[BOI],121.79618683411387,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],0.0,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],0.0,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],136.73042190300697,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],93.19523436487124,0.0,10000.0,kCHF,Investment cost of AD,unique
unit_capex[CGT],0.0,0.0,10000.0,kCHF,Investment cost of CGT,unique
min_T_AD,30.0,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty_a,0.5621847948363676,0.0,10000.0,MCHF,Sum of Penalty for deviating from the comfort temperature,unique
grid_export_a[Elec],6.0872158576946,0.0,10000.0,,,
grid_export_a[Gas],0.0,0.0,10000.0,,,
grid_import_a[Elec],662.3250826643199,0.0,10000.0,,,
grid_import_a[Gas],2087.786523132343,0.0,10000.0,,,
unused_a[Biomass],2.0936802331001707,0.0,10000.0,,,
unused_a[Biogas],0.9601674015113978,0.0,10000.0,,,
unused_a[Gas],0.0,0.0,10000.0,,,
capex,0.35172184310199206,-10000.0,10000.0,MCHF,total CAPEX,unique
opex,0.32549396442140865,0.0,10000.0,MCHF/year,total annual opex,unique
totex,0.34805591076959885,0.0,10000.0,MCHF/year,total annualized expenses,unique
emissions,464.1652639014719,-10000.0,10000.0,t-CO2,Annual total CO2 emissions,unique
